Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.523599,5.0292,0.526918,0.0119067,-0.00778095,0.059256,0.311107
0.523599,5.69976,0.592868,0.0119767,-0.00743844,0.0676753,0.352311
0.523599,6.37032,0.648687,0.0120472,-0.00697906,0.0743311,0.393534
0.541052,0.33528,-0.743012,0.691719,0.165726,-0.679636,0.0308283
0.541052,1.00584,-0.540918,0.124657,0.0295992,-0.212043,0.0664092
0.541052,1.6764,-0.394994,0.0120546,-0.0106963,-0.0808395,0.106212
0.541052,2.34696,-0.00756979,0.0111311,-0.00884059,-0.0216388,0.146843
0.541052,3.01752,0.213503,0.011202,-0.00845942,0.0118356,0.187766
0.541052,3.68808,0.354886,0.011436,-0.00822627,0.0333149,0.228823
0.541052,4.35864,0.452649,0.0117007,-0.00801277,0.0482542,0.269954
0.541052,5.0292,0.526827,0.0119063,-0.00778124,0.0592412,0.311129
0.541052,5.69976,0.592768,0.0119762,-0.00743882,0.0676593,0.352333
0.541052,6.37032,0.64858,0.0120465,-0.00697982,0.0743143,0.393556
0.558505,0.33528,-0.743051,0.691226,0.165608,-0.679247,0.0308395
0.558505,1.00584,-0.540988,0.124599,0.0295976,-0.211968,0.0664256
0.558505,1.6764,-0.394866,0.0120541,-0.0106953,-0.0808196,0.10623
0.558505,2.34696,-0.00755664,0.0111311,-0.00884055,-0.0216368,0.146862
0.558505,3.01752,0.213464,0.0112019,-0.00845948,0.0118297,0.187785
0.558505,3.68808,0.354819,0.0114359,-0.00822638,0.0333047,0.228843
0.558505,4.35864,0.452565,0.0117005,-0.00801295,0.0482413,0.269975
0.558505,5.0292,0.526738,0.0119058,-0.00778153,0.0592267,0.31115
0.558505,5.69976,0.592669,0.0119758,-0.0074392,0.0676436,0.352355
0.558505,6.37032,0.648476,0.0120459,-0.00698056,0.0742977,0.393579
0.575959,0.33528,-0.74309,0.690737,0.165491,-0.678862,0.0308507
0.575959,1.00584,-0.541058,0.12454,0.029596,-0.211893,0.0664418
0.575959,1.6764,-0.394737,0.0120535,-0.0106943,-0.0807997,0.106248
0.575959,2.34696,-0.00754238,0.0111311,-0.00884052,-0.0216346,0.14688
0.575959,3.01752,0.213426,0.0112019,-0.00845953,0.0118239,0.187804
0.575959,3.68808,0.354753,0.0114358,-0.00822649,0.0332947,0.228863
0.575959,4.35864,0.452483,0.0117003,-0.00801314,0.0482288,0.269995
0.575959,5.0292,0.52665,0.0119054,-0.0077818,0.0592124,0.311172
0.575959,5.69976,0.592573,0.0119753,-0.00743958,0.0676282,0.352377
0.575959,6.37032,0.648373,0.0120452,-0.00698128,0.0742814,0.393602
0.593412,0.33528,-0.743128,0.690254,0.165375,-0.678481,0.0308617
0.593412,1.00584,-0.541127,0.124483,0.0295943,-0.211818,0.0664578
0.593412,1.6764,-0.394608,0.0120529,-0.0106932,-0.0807798,0.106265
0.593412,2.34696,-0.00752706,0.011131,-0.00884048,-0.0216323,0.146899
0.593412,3.01752,0.213389,0.0112019,-0.00845959,0.0118184,0.187823
0.593412,3.68808,0.354689,0.0114357,-0.0082266,0.0332849,0.228883
0.593412,4.35864,0.452402,0.0117,-0.00801332,0.0482165,0.270015
0.593412,5.0292,0.526564,0.011905,-0.00778207,0.0591985,0.311193
0.593412,5.69976,0.592478,0.0119748,-0.00743994,0.067613,0.352399
0.593412,6.37032,0.648273,0.0120446,-0.006982,0.0742654,0.393624
0.610865,0.33528,-0.743166,0.689776,0.165261,-0.678104,0.0308726
