Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.453786,3.68808,0.685843,0.0126649,-0.00714331,0.0843394,0.277973
0.453786,4.35864,0.675639,0.0125269,-0.0070914,0.0818161,0.319165
0.453786,5.0292,0.675646,0.0123373,-0.00690109,0.0798697,0.360358
0.453786,5.69976,0.678094,0.0121622,-0.00670262,0.0783226,0.401553
0.453786,6.37032,0.688321,0.0121133,-0.00594417,0.0770634,0.442748
0.471239,0.33528,1.00909,0.0151743,-0.00422425,0.136418,0.0739644
0.471239,1.00584,0.845663,0.0136942,-0.0060244,0.109688,0.1151
0.471239,1.6764,0.766346,0.0131451,-0.00663836,0.097038,0.156274
0.471239,2.34696,0.719765,0.0128526,-0.00695243,0.0896645,0.197463
0.471239,3.01752,0.68903,0.0126807,-0.00712824,0.0848363,0.238659
0.471239,3.68808,0.667182,0.0125729,-0.00723152,0.0814297,0.279858
0.471239,4.35864,0.657323,0.0124274,-0.00718115,0.0788974,0.321061
0.471239,5.0292,0.656888,0.0122344,-0.00701937,0.0769411,0.362264
0.471239,5.69976,0.65918,0.0120613,-0.00682508,0.0753844,0.403469
0.471239,6.37032,0.668747,0.0120039,-0.00614795,0.0741162,0.444675
0.488692,0.33528,0.986962,0.0149516,-0.00450187,0.132755,0.0757825
0.488692,1.00584,0.826862,0.013545,-0.00619951,0.106654,0.116929
0.488692,1.6764,0.748073,0.0130304,-0.00676156,0.0941456,0.158114
0.488692,2.34696,0.701671,0.012743,-0.00706849,0.0868074,0.199314
0.488692,3.01752,0.670734,0.0125905,-0.00721473,0.0819835,0.24052
0.488692,3.68808,0.648846,0.0124825,-0.0073182,0.0785707,0.281731
0.488692,4.35864,0.639295,0.0123292,-0.00727169,0.0760289,0.322944
0.488692,5.0292,0.638422,0.0121329,-0.007138,0.0740625,0.364158
0.488692,5.69976,0.640542,0.0119614,-0.00695229,0.072496,0.405374
0.488692,6.37032,0.649459,0.0118956,-0.00635518,0.0712186,0.44659
0.506145,0.33528,0.965476,0.0147354,-0.00477139,0.129198,0.0775848
0.506145,1.00584,0.808333,0.0134088,-0.00635526,0.103684,0.118743
0.506145,1.6764,0.730152,0.0129179,-0.00688239,0.0913088,0.159939
0.506145,2.34696,0.683688,0.0126543,-0.0071535,0.0840034,0.20115
0.506145,3.01752,0.652771,0.0125019,-0.00729965,0.0791826,0.242368
0.506145,3.68808,0.630841,0.0123938,-0.00740332,0.0757631,0.283589
0.506145,4.35864,0.621562,0.0122325,-0.00736291,0.0732116,0.324813
0.506145,5.0292,0.620256,0.0120328,-0.00725685,0.0712349,0.366039
0.506145,5.69976,0.622178,0.0118638,-0.00708119,0.0696583,0.407266
0.506145,6.37032,0.630369,0.0118011,-0.00652649,0.0683716,0.448493
0.523599,0.33528,0.94461,0.0145254,-0.00503315,0.125744,0.0793707
0.523599,1.00584,0.789973,0.0132935,-0.00647905,0.100778,0.120541
0.523599,1.6764,0.712585,0.0128075,-0.00700084,0.088528,0.161749
0.523599,2.34696,0.666049,0.0125674,-0.00723688,0.081253,0.202971
0.523599,3.01752,0.635145,0.012415,-0.00738297,0.0764343,0.2442
0.523599,3.68808,0.613169,0.0123066,-0.00748685,0.0730077,0.285433
0.523599,4.35864,0.60413,0.0121372,-0.0074547,0.0704462,0.326668
0.523599,5.0292,0.602301,0.0119444,-0.00735681,0.0684589,0.367906
0.523599,5.69976,0.603923,0.0117879,-0.00716581,0.0668722,0.409144
0.523599,6.37032,0.611493,0.0117197,-0.00666214,0.0655761,0.450383
0.541052,0.33528,0.924338,0.0143214,-0.00528745,0.122389,0.0811397
0.541052,1.00584,0.772013,0.0131807,-0.00660015,0.0979351,0.122323
0.541052,1.6764,0.695233,0.0127112,-0.00709892,0.0858034,0.163542
0.541052,2.34696,0.648757,0.0124821,-0.00731862,0.0785567,0.204776
0.541052,3.01752,0.617862,0.0123298,-0.00746467,0.0737394,0.246016
0.541052,3.68808,0.595838,0.0122212,-0.00756878,0.0703054,0.287261
0.541052,4.35864,0.586858,0.0120584,-0.0075236,0.0677336,0.328509
0.541052,5.0292,0.584563,0.0118678,-0.00743698,0.0657357,0.369758
0.541052,5.69976,0.585972,0.0117131,-0.00725296,0.0641388,0.411008
0.541052,6.37032,0.592931,0.0116394,-0.00679941,0.0628332,0.452259
0.558505,0.33528,0.904166,0.0141586,-0.00547953,0.119128,0.0828911
0.558505,1.00584,0.754449,0.0130704,-0.00671857,0.0951549,0.124087
0.558505,1.6764,0.678121,0.0126269,-0.00717981,0.0831353,0.165318
0.558505,2.34696,0.631815,0.0123986,-0.00739871,0.0759151,0.206564
0.558505,3.01752,0.600924,0.0122463,-0.00754473,0.0710984,0.247816
0.558505,3.68808,0.578697,0.0121526,-0.00762928,0.0676566,0.289073
0.558505,4.35864,0.569859,0.0119854,-0.0075857,0.0650746,0.330333
0.558505,5.0292,0.567148,0.0117925,-0.00751705,0.0630659,0.371594
0.558505,5.69976,0.568333,0.0116392,-0.00734243,0.0614588,0.412857
0.558505,6.37032,0.574691,0.0115601,-0.00693809,0.0601437,0.45412
0.575959,0.33528,0.88453,0.0140027,-0.00566242,0.11596,0.0846245
0.575959,1.00584,0.737282,0.0129626,-0.00683432,0.0924373,0.125833
0.575959,1.6764,0.661374,0.0125443,-0.00725898,0.080524,0.167076
0.575959,2.34696,0.615226,0.0123168,-0.00747713,0.0733285,0.208334
0.575959,3.01752,0.584243,0.0121736,-0.0076112,0.068512,0.2496
0.575959,3.68808,0.561872,0.0120887,-0.00768411,0.0650622,0.290869
0.575959,4.35864,0.553182,0.0119136,-0.00764795,0.0624697,0.332141
0.575959,5.0292,0.550063,0.0117184,-0.00759692,0.0604503,0.373414
0.575959,5.69976,0.551013,0.0115664,-0.00743401,0.0588329,0.414689
0.575959,6.37032,0.556779,0.011482,-0.00707794,0.0575083,0.455965
0.593412,0.33528,0.865445,0.0138512,-0.00584016,0.11288,0.0863392
0.593412,1.00584,0.720507,0.0128573,-0.00694742,0.089782,0.127561
0.593412,1.6764,0.644991,0.0124635,-0.00733643,0.0779695,0.168817
0.593412,2.34696,0.598993,0.0122368,-0.00755386,0.0707973,0.210087
0.593412,3.01752,0.567827,0.0121113,-0.00766471,0.0659804,0.251365
0.593412,3.68808,0.545403,0.0120262,-0.00773779,0.0625225,0.292647
0.593412,4.35864,0.536833,0.0118431,-0.00771026,0.0599196,0.333931
0.593412,5.0292,0.533312,0.0116457,-0.00767651,0.0578894,0.375218
0.593412,5.69976,0.534017,0.0114946,-0.00752751,0.0562618,0.416505
0.593412,6.37032,0.539202,0.0114051,-0.00721876,0.0549277,0.457794
0.610865,0.33528,0.846897,0.013704,-0.00601291,0.109887,0.0880348
0.610865,1.00584,0.704117,0.012755,-0.00705693,0.0871887,0.129269
0.610865,1.6764,0.628974,0.0123846,-0.00741214,0.0754721,0.170538
0.610865,2.34696,0.583011,0.0121689,-0.00761522,0.0683218,0.211821
0.610865,3.01752,0.55177,0.0120504,-0.00771704,0.0635043,0.253112
0.610865,3.68808,0.529292,0.0119651,-0.0077903,0.0600381,0.294406
0.610865,4.35864,0.520816,0.0117739,-0.00777255,0.0574247,0.335704
0.610865,5.0292,0.516901,0.0115743,-0.00775574,0.0553839,0.377003
0.610865,5.69976,0.51735,0.0114239,-0.00762271,0.053746,0.418303
0.610865,6.37032,0.521967,0.0113293,-0.00736033,0.0524025,0.459605
